# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
枯		kū	withered; dried up; dull  [gū]
燕		yàn	(燕子 yànzi) swallow (bird)   [Yān] (surname)
稻		dào	growing rice, paddy
娃		wá	(娃娃 wáwa) baby  [wā] [guì]
览	覽	lǎn	展览 zhǎnlǎn exhibition; 游览 yóulǎn go sightseeing
郊		jiāo	(郊区, 郊外) suburbs, outskirts
覆		fù	(覆盖 fùgài) cover; 顛覆 diānfù subvert; (S复) 反覆 fǎnfù
牺	犧	xī	牺牲 xīshēng sacrifice
猜		cāi	guess; 猜想 cāixiǎng suppose
搜		sōu	search; 搜集 collect; 搜查 search; 搜索 look for  [xiāo] [sòu] [shǎo]
杆		gān	pole  [gǎn] (F桿) shaft  [gàn]
仓	倉	cāng	warehouse
幽		yōu	幽静 secluded; 幽默 humor; 幽暗 gloomy; 幽灵 ghost
萧	蕭	xiāo	desolate
董		dǒng	director; 古董 antique  [zhǒng]
锦	錦	jǐn	brocade; 什锦 shíjǐn fancy; 素什锦 assorted vegetables
赚	賺	zhuàn	gain, profit    [zuàn] cheat
跨		kuà	step, stride; straddle; go beyond  [kù] [kuā] [kuǎ]
阁	閣	gé	pavilion; cabinet
丛	叢	cóng	crowd; 丛书 cóngshū series of books; 丛林 jungle
岩		yán	rock, cliff; 岩石 rock; 砂岩 sandstone; 熔岩 lava
柱		zhù	pillar, post  [zhǔ]
亭		tíng	(亭子 tíngzi) pavilion
恋	戀	liàn	恋爱 love (as in love affair)
昂		áng	(昂首 ángshǒu) hold one's head high; high, soaring  [yàng]
疏		shū	sparse, scanty; 疏忽 carelessness
欺		qī	(欺骗) cheat, deceive; (欺负) bully
懒	懶	lǎn	lazy, sluggish; 伸懒腰 stretch
吞		tūn	swallow, gulp down; annex; 吞没 tūnmò embezzle  [tiān]
盲		máng	盲目 mángmù blind; 盲动 act blindly
抚	撫	fǔ	pat; soothe; foster; 抚摸 fǔmō stroke
盆		pén	basin; 盆地 péndì basin (of land)
肤	膚	fū	(皮肤 pífu) skin; 肤色 color of skin
顽	頑	wán	顽强 indomitable; 顽固 obstinate
伪	偽	wěi	false; 虚伪 false, hypocritical; 伪币 counterfeit money
脂		zhī	油脂 yóuzhī; oil, grease; 脂肪 zhīfáng fat, grease  [zhǐ]
仗		zhàng	battle, war; 打仗 fight
宏		hóng	宏伟 magnificient; 宏大 great; 宏观 macroscopic
慕		mù	羡慕 xiànmù envy; admire; 爱慕 àimù adore
漏		lòu	(漏水 lòushuǐ) leak  [lóu]
捉		zhuō	clutch, grasp; catch; 捉迷藏 hide & seek
舰	艦	jiàn	(军舰) warship; 航空母舰 aircraft carrier
仇		chóu	revenge; 报仇 bàochóu get revenge  [qiú] mate; (surname)  [jū]
牧		mù	herd, tend; 牧场 pasture; 牧民 herdsman
昆		kūn	昆虫 kūnchóng insect; 昆明 Kūnmíng  [hún] [kùn]
厌	厭	yàn	(讨厌 tǎoyàn, 厌恶 yànwù) detest; 厌烦 boring  [yān] (=恹)
吾		wú	(书) I, me  [yú] [yá]
宴		yàn	(宴会 yànhuì) banquet
侦	偵	zhēn	侦察 scout, reconnoitre; 侦探 detective
泊		bó	at anchor; moor; berth    [pō] 湖泊 húpō lakes  [pò]
慨		kǎi	慷慨 kāngkǎi generous; vehement
滋		zī	滋味 zīwèi flavor; 滋长 zīzhǎng grow  [xuán]
寺		sì	temple, Buddhist monastery  [shì]
浸		jìn	soak  [qīn]
霸		bà	overlord; tyrant; dominate; 霸占 bàzhàn sieze  [pò]
岂	豈	qǐ	(rhetorical adverb); 岂有此理 preposterous
肠	腸	cháng	intestine
渠		qú	canal, ditch, channel; 渠道 irrigation ditch  [jù]
胃		wèi	stomach; 胃口 wèikǒu appetite
慈		cí	慈祥 cíxiáng kindly; 慈爱 love, kindness; 慈悲 mercy
郁		yù	(surname); fragrant; elegant; (F鬱) luxuriant; 忧郁 yōuyù melancholy
奈		nài	无可奈何 wúkěnàihé have no alternative
艳	艷	yàn	gorgeous; amorous; 鲜艳 xiānyàn bright (color); 艳丽
抹		mā	wipe; 抹布 rag  [mǒ] apply; smear; 抹杀 obliterate  [mò]
鼠		shǔ	(老鼠 lǎoshǔ) mouse, rat; 鼠年 Year of Rat (1st year)
谱	譜	pǔ	table, chart; manual; music score; (谱写 pǔxiě) compose music
柜		guì	(F櫃) (柜子) cabinet; 柜台 counter; 掌柜 shopkeeper  [jǔ]
俱		jù	all; 俱乐部 jùlèbù club  [jū] together
斥		chì	排斥 páichì reject; 驳斥 bóchì, 斥责 chìzé denounce  [chè] [zhè]
曹		Cáo	(surname)
弥	彌	mí	弥漫 fill the air; 弥补 make up for, remedy
袁		Yuán	(surname)
傅		fù	师傅 shīfu master (term of respect)  [fū]
携	攜	xié	(携带 xiédài) carry, take along; 携手 hand in hand
眠		mián	(睡眠 shuìmián) sleep; 冬眠 dōngmián hibernate  [miǎn] [mǐn]
妥		tuǒ	appropriate; ready
盯		dīng	stare at  [chéng]
贤	賢	xián	贤惠 virtuous (woman); 贤人 virtuous person
赫		Hè	(surname); hertz  [shì]
呵		hē	breathe out (mouth open); scold; 呵欠 yawn  [hā] [ā] [a] [kē] [huō]
踪	蹤	zōng	跟踪 follow closely; 失踪 be missing; 踪迹 trace
匀	勻	yún	to divide evenly; to spare; even  [jūn] [yùn]
罐		guàn	(罐头 guàntou) can; jar
巷		xiàng	lane, alley  [hàng] 巷道 hàngdào tunnel (in a mine)
筒		tǒng	tube; 电筒 diàntǒng flashlight  [dòng] [tóng]
歧		qí	(of roads:) fork, branch; divergent; 歧视 discriminate
券		quàn	ticket, certificate; 入场券   [xuàn] 拱券 arch
劣		liè	bad, inferior, minor
档	檔	dàng	shelves; 档案 dàng'àn files, archives  [dǎng]
汪		wāng	汪汪 tearful; bow-wow; 汪洋 boundless (ocean)  [wǎng] [hóng]
睁	睜	zhēng	open the eyes
慌		huāng	flustered, confused; 慌忙 huāngmáng in a flurry  [huǎng] [huang]
跌		diē	fall, tumble  [tú]
秦		Qín	the Qin (Ch'in) Dynasty, 221-207 B.C. (Qín --> China)
戚		qī	亲戚 qīnqī relative; 休戚 xiū-qī joy and sorrow  [cù]
谨	謹	jǐn	(谨慎 jǐnshèn) cautious; sincerely
卧	臥	wò	lie down; 卧室 wòshì bedroom
厦	廈	shà	大厦 dàshà tall building, mansion  [Xià] 厦门 Xiàmén Amoy
芽		yá	bud, sprout
戒		jiè	forbid; 戒严 jièyán enforce martial law; 戒指 jièzhi ring
恼	惱	nǎo	恼火 nǎohuǒ angry, annoyed
奴		nú	奴隶 núlì slave
框		kuàng	frame; case; circle  [kuáng]
肌		jī	肌肉 jīròu muscle  [jì]
殖		zhí	繁殖 breed, reproduce; 殖民地 colony   ([shi] 骨殖)  [shì]
盈		yíng	full; 盈利 yínglì profit; have a surplus
踢		tī	kick; 踢足球 play football  [dié]
砖	磚	zhuān	brick
役		yì	(战役) battle; 兵役 military service; 奴役 enslave
溪		xī	(溪流 xīliú) brook, small stream  [qī]
雕		diāo	vulture; (雕刻 diāokè) carve, engrave; 浮雕 fúdiāo relief sculpture
卢	盧	Lú	(surname); 觚卢 gūlú calabash
逝		shì	逝世 shìshì pass away, die; 消逝 xiāoshì fade away, elapse
蛇		shé	snake      [yí] 虚与委蛇  [tuó] [chí]
辣		là	(spicy) hot; 辣椒 làjiāo hot pepper; 毒辣 dúlà sinister [lā]
剪		jiǎn	(剪刀 jiǎndāo) scissors
咨		zī	咨询 zīxún consult, seek advice from
刮		guā	scrape; 刮胡子 shave; (F颳) (wind) blow  [kā]
堡		bǎo	堡垒 bǎolěi fortress; 城堡 chéngbǎo castle  [bǔ] 堡子 walled village  [pù]
挨		āi	get close to, be next to; in sequence   [ái] suffer
捧		pěng	hold, carry in both hands; 捧着一个西瓜  [fèng]
叛		pàn	叛徒 pàntú traitor
浙		Zhè	浙江省 Zhèjiāngshěng Zhejiang Province
颠	顛	diān	jolt; fall; summit; 颠倒 diāndǎo turn upside down
碧		bì	green jade; bluish green; 碧绿 dark green; 碧蓝 dark blue
颤	顫	chàn	quiver; 颤抖 chàndǒu tremble; 颤动 vibrate  [zhàn]
膜		mó	membrane, film; 角膜 jiǎomó cornea (of eye)
莲	蓮	lián	lotus (flower)
舌		shé	(舌头 shétou) tongue  [guā]
渴		kě	(口渴 kǒukě) thirsty; 渴望 thirst for, long for  [jié] [kài] [hé]
齿	齒	chǐ	(牙齿 yáchǐ) tooth
倡		chàng	倡议 chàngyì propose   [chāng] 倡优 entertainer
姜		jiāng	ginger
姨		yí	aunt (mother's sister); sister-in-law (wife's sister)
骄	驕	jiāo	骄傲 jiāo'ào arrogant, proud
拟	擬	nǐ	(拟定) draft; 比拟 comparison; 模拟 imitate
泼	潑	pō	sprinkle; rude & unreasonable; 活泼 huópo lively
淋		lín	pour, drench; 冰淇淋 ice cream  [lìn] strain, filter  [līn]
溜		liū	slide, sneak away  [liù] swift current of water  [liú]
捞	撈	lāo	dredge for, fish for, scoop up out of water
棚		péng	shed, shack, canopy; 窝棚 shack
罩		zhào	cover
苗		miáo	seedling, young plant; vaccination; 火苗 flame
腹		fù	belly, stomach, abdomen; 腹地 hinterland
桑		sāng	mulberry tree; 桑蚕 silkworm; 桑叶 mulberry leaves
铃	鈴	líng	bell
砍		kǎn	cut, chop, hack; 砍柴
霞		xiá	rosy clouds
聘		pìn	engage; 聘请 pìnqǐng engage, invite  [pìng]
伐		fá	fell, cut down; attack
拳		quán	box (with fists); 太极拳
吁		yù	呼吁 hūyù appeal  [xū] 吁吁 xūxū (panting)  [yū] Whoa!
庙	廟	miào	temple
庸		yōng	usual, ordinary; 中庸 Doctrine of the Mean  [yóng]
诊	診	zhěn	诊断 zhěnduàn diagnose; 诊所 zhěnsuǒ clinic
扯		chě	pull; tear; chat
捷		jié	敏捷 quick, agile; 轻捷 nimble  [qiè] [chā]
僚		liáo	(官僚) official; (同僚) colleague  [liǎo] [lǎo]
丙		bǐng	third 天干 Heavenly Stem  [bìng]
催		cuī	urge, hurry, hasten
践	踐	jiàn	实践 put into practice; 践踏 trample
嫂		sǎo	(大嫂 dàsǎo) elder brother's wife, sister-in-law
疆		jiāng	边疆 biānjiāng border region; 新疆 Xīnjiāng  [jiàng]
凌		líng	insult; encroach; draw near; 凌晨 língchén before dawn  [lìng]
坑		kēng	hole, pit  [kàng]
祸	禍	huò	misfortune
撑	撐	chēng	prop up, support, keep up, fill to bursting
羽		yǔ	(羽毛 yǔmáo) feather; 羽毛球 badminton  [hù]
廉		lián	honest, clean; low-priced
晒	曬	shài	roast in sun
歪		wāi	crooked, askew; devious  [wǎi]
扇		shàn	a fan; (量): 一扇门   [shān] to fan; incite
棒		bàng	stick, bat; excellent; 棒球 bàngqiú baseball
辨		biàn	distinguish, differentiate  [biǎn] [bàn] [piàn]
宙		zhòu	宇宙 yǔzhòu cosmos
儒		rú	Confucianism; scholar; 儒家 Rújiā Confucianists
屏		píng	屏幕 píngmù screen  [bǐng] 屏息 bǐngxī hold breath  [bīng] 屏营  [bìng]
遂		suì	satisfy, fulfil; succeed; 遂心  [suí] 半身不遂
蔡		Cài	(surname)  [sà] [cā]
凑	湊	còu	gather together; happen by chance
卜		bǔ	fortune telling  [bo] 胡萝卜 húluóbo carrot  [pū]
堵		dǔ	stop up, block; (量) 一堵墙 a wall  [zhě] [dū]
纤	纖	xiān	纤维 fiber  [qiàn] rope for towing boat
皱	皺	zhòu	to wrinkle; 皱纹 wrinkles
侨	僑	qiáo	华侨 Huáqiáo overseas Chinese; 侨胞 compatriots abroad
晴		qíng	(晴朗 qínglǎng) fine, sunny; 晴天霹雳 qíngtiānpīlì
滨	濱	bīn	海滨 seashore; 滨临 be close to (body of water)
煮		zhǔ	boil, cook
辱		rǔ	侮辱 wǔrǔ insult, humiliate; 耻辱 chǐrǔ shame
宅		zhái	residence, house  [chè] [dù]
葛		gé	kudzu vine; grass-cloth (pueraria)  [Gě] (surname)
痕		hén	痕迹 hénjì mark, trace, vestige; 伤痕 shānghén scar  [gèn]
遣		qiǎn	派遣 pàiqiǎn send, dispatch; 先遣 sent in advance  [qiàn]
驳	駁	bó	contradict; 驳斥 bóchì denounce; 反驳 refute
绳	繩	shéng	(绳子, 绳索) rope, cord
彭		Péng	(surname)  [páng] [bāng] [pēng]
娱	娛	yú	娱乐 yúlè amuse; amusement, recreation
卿		qīng	minister or high official in ancient times
忌		jì	envy; avoid; quit; 忌讳 jìhui taboo
赔	賠	péi	compensate, pay for; lose money; 赔不是 apologize
赠	贈	zèng	(赠送 zèngsòng) give as a present
妨		fáng	(妨碍) hinder, impede; harm; 不妨 no harm in...
抖		dǒu	(发抖 fādǒu, 颤抖 chàndǒu) shiver, tremble
膨		péng	膨胀 péngzhàng expand, swell  [pèng]
艇		tǐng	light boat
泄		xiè	leak, drain; divulge  [yì] 泄沓
柏		bǎi	(柏树) cypress  [Bó] 柏林 Berlin  [bò] (檗)
糟		zāo	rotten; 糟糕 zāogāo bad luck! 糟踏 zāota waste, spoil
嫩		nèn	tender, delicate; light; inexperienced
枚		méi	(量) (measure word for small objects)
矮		ǎi	short (not tall); low; 矮子 ǎizi dwarf
摔		shuāi	fall down; 摔交 shuāijiāo wrestling
愧		kuì	(惭愧 cánkuì) ashamed
悦	悅	yuè	(喜悦 xǐyuè) happy, joyful
趁		chèn	take advantage of; while; 趁机会  [zhēn] [chén] [niǎn] [zhěn]
漆		qī	lacquer, paint; 油漆 paint; 漆黑 pitch-black  [qiè]
谅	諒	liàng	(原谅 yuánliàng) forgive
绵	綿	mián	连绵 unbroken; 海绵 sponge  [miān] 软绵绵 soft
冤		yuān	injustice; 冤枉 yuānwang do wrong, treat unjustly
棍		gùn	(棍子) rod, stick; 拐棍 guǎigùn walking stick  [hùn] [āo] [gǔn]
拆		chāi	take apart, dismantle   [cā] [chè] [chì]
饥	飢	jī	starve, be hungry; famine; 饥饿 hunger, starvation
押		yā	pawn; detain; 押送 send under escort; 押韵 yāyùn rhyme  [xiá] [jiǎ]
涛	濤	tāo	great waves
娜		nuó	婀娜 ēnuó graceful (woman)  [nà] 安娜 Anna (name)
嫌		xián	suspicion; dislike
卵		luǎn	(卵子) egg, ovum; 卵巢 luǎncháo ovary  [kūn]
坛		tán	(F壇) altar; raised plot of ground; (F罈) jar, jug
庞	龐	páng	庞大 pángdà colossal, huge
斑		bān	spot, stripe; 斑马 bānmǎ zebra
佩		pèi	(ornament); 佩服 pèifu admire; 敬佩 jìngpèi esteem
逻	邏	luó	逻辑 logic
柯		kē	(书) stalk, branch; (surname)
咽		yàn	to swallow  [yān] pharynx   [yè] 呜咽 wūyè sob, whimper  [yuān]
胖		pàng	fat, plump   [pán] (书) easy and comfortable  [pàn]
蓬		péng	蓬勃 péngbó vigorous; 蓬松 fluffy    [pēng] [pèng]
煌		huáng	bright; 敦煌石窟 Dūnhuáng Shíkū Gansu Caves
葡		pú	葡萄 pútao grape  [bèi]
兆		zhào	omen; million, mega
缸		gāng	jar, vat
裹		guǒ	bind, wrap; 包裹 bundle, package
诱	誘	yòu	guide, lead, lure
拘		jū	拘留 arrest; 拘束 restrict; 拘谨 overcautious  [gōu] [jǔ] [jú]
妄		wàng	absurd; rash; ䷘ 无妄; 妄想狂 paranoia  [wáng]
彪		biāo	young tiger
摧		cuī	(摧毁 cuīhuǐ, 摧残 cuīcán) destroy  [zuì] [cuò]
匹		pǐ	(量) measure word for horses: 三匹马 3 horses
棵		kē	一棵树 a tree  [kuǎn] [kě]
廷		tíng	royal court
扔		rēng	throw, toss; 扔球 throw a ball (cf 接球)  [rèng]
敦		dūn	敦厚 dūnhòu honest, sincere; 敦煌 Dūnhuáng  [duì] ancient vessel  [duī] [tuán] [diāo] [dùn] [dào] [zhǔn] [tūn] [tún]
颂	頌	sòng	praise; song, ode; 歌颂 gēsòng sing the praises of
酱	醬	jiàng	sauce, paste, jam; 酱油 soy sauce; 花生酱 P.B.
株		zhū	tree-trunk; 守株待兔
嘉		jiā	good, fine; praise
菊		jú	chrysanthemum
灿	燦	càn	灿烂 cànlàn splendid, magnificent
萄		táo	葡萄 pútao grape
沾		zhān	moisten, soak; touch  [tiān] [diàn] [chān]
侯		hóu	marquis; (surname)  [hòu]
御		yù	imperial; (F禦) 防御 fángyù defense; 抵御 dǐyù resist  [yà]
嗓		sǎng	嗓子 throat; 嗓门儿 sǎngménr, 嗓音 sǎngyīn voice
畜		xù	畜牧 xùmù raise animals  [chù] 畜生 chùsheng beast
肺		fèi	(肺脏 fèizàng) lung  [pèi]
毅		yì	毅力 willpower; 坚毅 jiānyì determined
秩		zhì	秩序 zhìxù order, sequence
酿	釀	niàng	brew, ferment; wine; (酿成) result in
蒸		zhēng	(蒸汽 zhēngqì) steam
旨		zhǐ	意旨 yìzhǐ intention
驰	馳	chí	gallop, speed; spread; 驰名 well-known
勾		gōu	cross out; evoke; gang up with  [gòu] 勾当 gòudang deal
惑		huò	疑惑 yíhuò uncertain  [huo] 迷惑 míhuo perplex
狭	狹	xiá	(狭窄 xiázhǎi, 狭隘 xiá'ài) narrow
狮	獅	shī	(狮子 shīzi) lion
叠	疊	dié	pile up, repeat; (折叠 zhédié) fold
篮	籃	lán	basket; 篮球 basketball
菲		fěi	菲薄 humble  [fēi] luxuriant; 菲律宾 Philippines  [fèi]
奸		jiān	treacherous; traitor; (F姦) adultery; 强奸 qiángjiān rape  [gān]
缠	纏	chán	to wind; tie up; tangle; bother
赋	賦	fù	(赋于) bestow on; compose; 赋税 taxes
臭		chòu	stinking   [xiù] sniff, smell
筋		jīn	tendon; 脑筋 brains; 橡皮筋 rubber band  [qián]
玛	瑪	mǎ	玛瑙 mǎnǎo agate; 玛雅 Mǎyǎ Maya
厢	廂	xiāng	wing of a house; side; railway carriage
窃	竊	qiè	窃听 qiètīng eavesdrop; 盗窃 dàoqiè steal
墓		mù	(坟墓 fénmù) grave, tomb
竭		jié	竭力 jiélì do one's utmost; 竭尽 jiéjìn use up, exhaust
旺		wàng	prosperous, flourishing; 旺盛 vigorous, exuberant
钉	釘	dīng	a nail; to follow closely  [dìng] to nail
霉		méi	mold, mildew; 倒霉 dǎoméi have bad luck
碌		lù	骨碌 roll; 忙碌 busy; 碌碌 mediocre  [liù] 碌碡  [lū] [luò]
舆	輿	yú	chariot; area; 舆论 yúlùn public opinion
鹿		lù	deer  [lǘ]
肝		gān	liver
葬		zàng	(埋葬 máizàng) bury (the dead); 葬礼 funeral
誓		shì	(发誓 fāshì) swear; 誓言 shìyán oath
孝		xiào	filial piety
履		lǚ	shoes; ䷉ Treading
箭		jiàn	arrow; 火箭 rocket; 箭头 arrowhead
契		qì	契约 qìyuē contract   [qiè] 契阔  [xiè] [jié]
赌	賭	dǔ	gamble
轿	轎	jiào	sedan chair; 轿车 jiàochē car
闯	闖	chuǎng	rush, charge
亩	畝	mǔ	sixth of an acre (0.0667 hectares)
倦		juàn	(疲倦 píjuàn) tired, weary
兑	兌	duì	☱ ䷹ Joyous, Lake; 兑换 duìhuàn convert, exchange  [ruì] [duó]
廿		niàn	twenty (same as 二十 èrshí)
锡	錫	xī	tin (Sn)
掏		tāo	pull out, fish out (from pocket, etc.); dig
琳		lín	(书) beautiful jade
粥		zhōu	porridge, gruel, congee   [yù] (=鬻)
挽		wǎn	draw, pull; roll up; 挽救 rescue; (F輓) pull (cart/carriage); lament
桶		tǒng	bucket
喘		chuǎn	(喘气 chuǎnqì) pant, gasp; 气喘 qìchuǎn asthma
叭		bā	(=吧) (used for sound)  [pā] [ba]
泳		yǒng	游泳 yóuyǒng swim
堪		kān	may; endure; 不堪 bùkān can't stand; 难堪 intolerable  [chěn]
韵	韻	yùn	(押韵 yāyùn) rhyme; 韵文 yùnwén verse
拦	攔	lán	block the way
肖		xiào	肖像 xiàoxiàng portrait  [Xiāo] (surname)
艘		sōu	(measure word for boats:) 两艘油船 two tankers
衬	襯	chèn	衬衫 chènshān shirt
壤		rǎng	土壤 tǔrǎng soil
慎		shèn	cautious; 许慎 Xǔ Shèn author of 说文解字  [zhèn]
竖	豎	shù	vertical, perpendicular; vertical stroke "丨"
贼	賊	zéi	thief
霍		huò	suddenly  [hè] [suǒ]
傍		bàng	be close to; 傍晚 toward evening, at nightfall  [páng] [bēng] [péng]
怖		bù	恐怖 kǒngbù terror
恭		gōng	respect; 恭贺新禧 Happy New Year
矣		yǐ	(grammatical particle)  [xián]
砸		zá	strike, smash, break
凄		qī	cold; 凄凉 qīliáng desolate; 凄惨 qīcǎn wretched
掀		xiān	lift (a cover, etc.)  [hén]
巾		jīn	piece of cloth; 毛巾 towel; 餐巾 napkin; 围巾 scarf
茅		máo	(茅草 máocǎo) cogongrass; 白茅 báimáo edible wild grass
裕		yù	富裕 fùyù rich, wealthy, opulent
惩	懲	chéng	chastise, punish, correct, repress; restrain oneself
瞬		shùn	wink; 瞬间 a moment; in the twinkling of an eye
虾	蝦	xiā	shrimp; 龙虾 lobster; 虾炒饭 shrimp fried rice  [há] (=蛤)
喉		hóu	(喉咙 hóulóng) throat, larynx
账	賬	zhàng	account; credit; debt
踩		cǎi	step  [kuí]
蜡	蠟	là	wax; (蜡烛 làzhú) candle  [qù] [zhà] [jí]
蒂		dì	base of a fruit; 烟蒂 cigarette butt; 阴蒂 clitoris
谭	譚	Tán	(surname)
铭	銘	míng	铭刻 míngkè inscription; engrave on one's mind
燥		zào	dry; 干燥 dry; dull; 枯燥 kūzào boring  [sào]
蜂		fēng	bee, wasp; 蜜蜂 mìfēng honeybee; 蜂房 fēngfáng beehive
肿	腫	zhǒng	swollen; 肿瘤 zhǒngliú tumor; 红肿 red & swollen
翁		wēng	old man; (surname)  [wěng]
酬		chóu	酬谢 chóuxiè thank with a gift; 报酬 bàochou reward
惟		wéi	惟一 wéiyī only; sole (same as 唯一)  [wěi]
爽		shuǎng	爽朗 shuǎnglǎng bright, clear; frank; 凉爽 nice & cool  [shuāng]
瞎		xiā	become blind; pointlessly; 瞎子 xiāzi blind person
魏		Wèi	(one of the Three Kingdoms); (surname)  [wéi] [wēi]
腊		là	(F臘) (腊月) 12th month; 腊肠 sausage  [xī] dried meat
咸		xián	all; ䷞; (F鹹) salty; 咸菜 salted vegetables  [jiǎn] [jiān]
芝		zhī	芝麻 zhīma sesame
钞	鈔	chāo	(钞票) bank note, paper money; collected writings
寡		guǎ	few; 寡妇 guǎfu widow; 沉默寡言 habitually silent
窄		zhǎi	narrow
趟		tàng	(measure word) trip; row  [tāng] ( = 蹚)  [zhēng] [zhèng] [chéng]
昔		xī	昔日 xīrì former times; 往昔 wǎngxī in the past  [cuò]
翠		cuì	emerald green; 翠鸟 cuìniǎo kingfisher
勿		wù	do not!  [mò]
邪		xié	evil; (interrogative sentence final particle)  [yé] (=耶) (=铘)  [yá] [xú] [shé]
蜜		mì	(蜂蜜 fēngmì) honey; 蜜蜂 mìfēng honeybee
虹		hóng	(彩虹 cǎihóng) rainbow  [jiàng] rainbow  [hòng] [gòng]
倘		tǎng	(倘若 tǎngruò) if, supposing  [cháng]
垫	墊	diàn	place under; 垫子 diànzi cushion, pad, mat
歇		xiē	have a rest; 间歇 jiànxiē intermission  [yà]
栽		zāi	to plant  [zài]
畏		wèi	fear; respect; 畏惧 wèijù dread; 畏缩 flinch  [wēi] [wěi]
逮		dài	逮捕 dàibǔ arrest  [dǎi] catch; 猫逮老鼠  [dì]
媳		xí	媳妇 xífù daughter-in-law; 童养媳 tóngyǎngxí child bride
豫		yù	䷏ (16) Enthusiasm; 犹豫 yóuyù hesitate  [xiè] [shū]
惶		huáng	惶恐 huángkǒng alarmed; 惶惑 apprehensive; 惊惶 scared
颈	頸	jǐng	(颈项 jǐngxiàng) neck  [gěng] 脖颈儿 bógěngr nape
撕		sī	rip, tear; 撕毁 sīhuǐ tear apart  [xī] 提撕
兽	獸	shòu	beast
乳		rǔ	milk, breast; 哺乳 bǔrǔ breast-feed; 乳酪 rǔlào cheese
渗	滲	shèn	ooze, seep; 渗透 osmosis; permeate; infiltrate
渣		zhā	sediment, dregs, residue, bits, crumbs; 残渣余孽
昭		zhāo	clear, obvious; 昭雪 zhāoxuě rehabilitate  [zhào]
玄		xuán	black, dark; profound, abstruse; 玄学 metaphysics  [xuàn]
崩		bēng	(崩溃 bēngkuì) collapse, fall apart; burst
翅		chì	(翅膀 chìbǎng) wing
帆		fān	sail; 帆布 fānbù canvas; 帆船 fānchuán sailboat  [fàn]
垃		lā	垃圾 lājī garbage   [lè] [la]
逊	遜	xùn	谦逊 qiānxùn modest
贩	販	fàn	贩子 dealer; 贩卖 deal in, traffic, peddle
唇		chún	(嘴唇 zuǐchún) lip; 唇膏 chúngāo lipstick  [zhēn] [zhèn]
尿		niào	[suī] urine, urinate
穆		mù	静穆 jīngmù solemn and quiet; (surname); 穆罕默德 Mohammed
霜		shuāng	(霜冻 shuāngdòng) frost
惹		rě	offend; ask for (trouble); 惹麻烦  [ruò]
帜	幟	zhì	旗帜 qízhì banner, flag; stand, position
唉		ài	(interj.) oh!  [āi] yes?  [ǎi]
碑		bēi	upright stone tablet (monument, etc); 墓碑 tombstone
乒		pīng	乒乓 pīngpāng pingpong
浴		yù	沐浴 mùyù take a bath; 浴室 yùshì bath/shower room
绅	紳	shēn	绅士 gentleman; gentry
耶		yé	(书) (final interrog. particle)  [Yē] 耶稣 Yēsū Jesus  [xié]
糕		gāo	(蛋糕 dàngāo) cake
蹲		dūn	squat  [zún] [cún] [zūn] [cǔn] [cuán] [qǔn]
徽		huī	emblem, badge; insignia; 安徽省 Anhui Province
薪		xīn	薪水 salary
玲		líng	玲珑 línglóng clever & nimble
纶	綸	lún	black silk ribbon; fishing line; synthetic fiber  [guān] 纶巾
缴	繳	jiǎo	hand in, pay   [zhuó]
辅	輔	fǔ	辅导 coach, tutor; 辅助 assist, auxiliary; 辅音 consonant
屡	屢	lǚ	(屡次 lǚcì) repeatedly; 屡教不改
谐	諧	xié	in harmony
嘲		cháo	嘲笑 ridicule; 嘲讽 sneer at; 嘲弄 mock  [zhāo]
穴		xué	cave, hole; acupuncture point  [jué]
哗	嘩	huá	(喧哗 xuānhuá) noise, clamor  [huā] (sound)
冈	岡	gāng	ridge of a hill
卓		zhuó	tall; (surname); (卓越 zhuóyuè) outstanding  [zhuō]
遮		zhē	cover, hide, block
萍		píng	浮萍 fúpíng duckweed
瞪		dèng	open (one's eyes) wide, stare, glare; 瞪眼
耕		gēng	to plough, till
囊		náng	bag; 鼓鼓囊囊 gǔgunāngnāng bulging  [nāng] 囊膪 nāngchuài pork near the pig's nipples
溢		yì	overflow; 洋溢 yángyì be permeated with
圾		jī	垃圾 lājī garbage   [sè] [jí] [jié]
泣		qì	哭泣 kūqì cry, weep; 抽泣 chōuqì sob  [lì] [sè]
函		hán	letter; 函件 correspondence; 函数 (math) function
雀		què	sparrow   [qiāo] 雀子 freckle   [qiǎo] 雀盲眼
矩		jǔ	(carpenter's square); 矩阵 jǔzhèn matrix  [jū]
淘		táo	wash, clean; 淘气 táoqì naughty; 淘汰 eliminate
嘱	囑	zhǔ	(嘱咐 zhǔfu) advise, enjoin, urge, exhort
烤		kǎo	bake, roast, toast
茂		mào	茂盛 màoshèng luxuriant; 茂密 màomì dense
浆	漿	jiāng	syrup; starch  [jiàng] ( = 糨)
喇		lǎ	喇叭 musical wind instrument; 喇嘛 lama  [lā] [lá] [la]
壶	壺	hú	kettle, pot; bottle
俺		ǎn	I, we; 俺们 ǎnmen we (refers to speakers only)  [yàn]
熙		xī	bright, splendid; 康熙字典 Kangxi dictionary (1716 A.D.)  [yí]
婴	嬰	yīng	婴儿 yīng'ér baby, infant
朦		méng	朦胧 ménglóng dim moonlight; obscure  [mǎng]
寨		zhài	stockade, camp  [sè] [qiān]
