	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
蜡	là	wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to 䄍, meaning imperial harvest	虫 142.8	14	6	3106	2593
辜	gū	crime, criminal offense	辛 160.5	12	6	2560	2596
垫	diàn	advance money, pay for another	土 32.6	9	6	1390	2597
妒	dù	jealous, envious	女 38.4	7	6	923	2598
谣	yáo	sing; folksong, ballad; rumor	言 149.10	12	6	2796	2600
枕	zhěn	pillow	木 75.4	8	6	1033	2605
丐	gài	beggar; beg; give	一 1.3	4	6	84	2606
泌	mì	to seep out, excrete	水 85.5	8	6	1256	2609
叮	dīng	exhort or enjoin repeatedly	口 30.2	5	6	241	2611
掷	zhì	throw, hurl, cast, fling	手 64.8	11	6	2186	2614
侮	wǔ	insult, ridicule, disgrace	人 9.7	9	6	1566	2621
蚀	shí	nibble away; erode; eclipse	食 184.6	9	6	1612	2625
霜	shuāng	frost; crystallized; candied	雨 173.9	17	6	3399	2631
蕴	yùn	to collect, gather, store; profound	艸 140.14	15	6	3212	2633
妆	zhuāng	to adorn oneself, dress up, use make-up	女 38.3	6	6	512	2639
捆	kǔn	tie up; bind, truss up; bundle	手 64.7	10	6	1796	2640
丙	bǐng	third; 3rd heavenly stem	一 1.4	5	6	213	2645
钞	chāo	paper money, bank notes; copy	金 167.4	9	6	1527	2647
犬	quǎn	dog; radical number 94	犬 94.0	4	6	92	2649
躬	gōng	body; personally, in person	身 158.3	10	6	1972	2650
昼	zhòu	daytime, daylight	尸 44.6	9	6	1723	2651
奠	diàn	pay respect; settle	大 37.9	12	6	2744	2656
蹈	dǎo	stamp feet; dance	足 157.10	17	6	3409	2659
陋	lòu	narrow; crude, coarse; ugly	阜 170.6	8	6	1317	2660
侣	lǚ	companion; associate with	人 9.6	8	6	1146	2661
侄	zhí	nephew	人 9.6	8	6	1144	2664
虐	nüè	cruel, harsh, oppressive	虍 141.3	9	6	1470	2665
堕	duò	fall, sink, let fall; degenerate	土 32.9	11	6	2475	2666
茎	jīng	stem, stalk	艸 140.5	8	6	1014	2675
喇	lǎ	horn, bugle; lama; final particle	口 30.9	12	6	2621	2677
绒	róng	silk, cotton, or woolen fabric	糸 120.6	9	6	1753	2678
搅	jiǎo	disturb, agitate, stir up	手 64.9	12	6	2536	2679
缔	dì	tie, join, connect; connection	糸 120.9	12	6	2819	2688
嫉	jí	jealousy; be jealous of	女 38.10	13	6	3040	2690
灶	zào	kitchen stove, cooking stove	火 86.3	7	6	851	2691
鸽	gē	pigeon, dove; Columba species (various)	鳥 196.6	11	6	2349	2694
纬	wěi	woof; parallels of latitude	糸 120.4	7	6	929	2697
沸	fèi	boil, bubble up, gush	水 85.5	8	6	1259	2698
畴	chóu	farmland, arable land; category	田 102.7	12	6	2627	2699
遏	è	stop, suppress, curb, check; a bar	辵 162.9	12	6	2624	2701
烁	shuò	shine, glitter, sparkle	火 86.5	9	6	1657	2702
嗅	xiù	smell, scent, sniff; olfactive	口 30.10	13	6	2927	2703
叭	bā	trumpet	口 30.2	5	6	247	2704
奢	shē	extravagant, wasteful; exaggerate	大 37.9	11	6	2242	2708
拙	zhuō	stupid, clumsy, crude; convention	手 64.5	8	6	987	2709
栋	dòng	main beams supporting house	木 75.5	9	6	1429	2710
泻	xiè	drain off, leak; flow, pour down	水 85.5	8	6	1255	2715
晤	wù	have interview with; meet	日 72.7	11	6	4813	2719
稚	zhì	young, immature; childhood	禾 115.8	13	6	2948	2720
捣	dǎo	hull; thresh; beat, attack	手 64.7	10	6	1811	2723
尴	gān	embarrassed; ill at ease	尢 43.10	13	6	2883	2726
尬	gà	limp, staggering gait; embarrass	尢 43.4	7	6	705	2729
诧	chà	be surprised, be shocked	言 149.6	8	6	4057	2728
嚼	jué	prattle, be glib	口 30.18	20	6	3479	2731
旷	kuàng	extensive, wide, broad; empty	日 72.3	7	6	727	2735
芽	yá	bud, sprout, shoot	艸 140.4	7	6	664	2737
碳	tàn	carbon	石 112.9	14	6	3092	2740
惕	tì	be cautious, careful, alert	心 61.8	11	6	2443	2742
汹	xiōng	turbulent; noisy, restless	水 85.4	7	6	864	2746
腥	xīng	raw meat; rank, strong-smelling	肉 130.9	13	6	2970	2747
澄	chéng	purify water by allowing sediment to settle; clear, pure	水 85.12	15	6	3299	2756
萎	wēi	wither, wilt	艸 140.8	11	6	2206	2757
滔	tāo	overflow; rushing water, a torrent	水 85.10	13	6	3011	2760
酿	niàng	brew, ferment	酉 164.7	14	6	3088	2764
诫	jiè	warn, admonish; warning	言 149.7	9	6	1704	2770
棕	zōng	hemp palm; palm tree	木 75.8	12	6	2576	2774
喧	xuān	lively, noisy; clamor, talk loudly	口 30.9	12	6	2646	2778
伺	cì	serve, wait upon, attend; examine	人 9.5	7	6	788	2782
梢	shāo	pointed tip of something long like a branch; rudder	木 75.7	11	6	2225	2785
坝	bà	embankment; dam	土 32.4	7	6	629	2786
敷	fū	spread, diffuse; apply, paint	攴 66.11	15	6	3219	2788
庇	bì	cover, shield, shelter, protect	广 53.4	7	6	833	2793
挠	náo	scratch; disturb, bother; submit	手 64.6	9	6	1375	2794
搂	lǒu	hug, embrace; drag, pull	手 64.9	12	6	2535	2795
噪	zào	be noisy; chirp loudly	口 30.13	16	6	3349	2799
稼	jià	sow grain; sheaves of grain	禾 115.10	15	6	3264	2800
寝	qǐn	sleep, rest; bed chamber	宀 40.10	13	6	3029	2806
哺	bǔ	chew food; feed	口 30.7	10	6	1894	2810
帜	zhì	flag, pennant; sign; fasten	巾 50.5	8	6	1109	2813
揉	róu	rub, massage; crush by hand	手 64.9	12	6	2540	2818
腻	nì	greasy, oily, dirty; smooth	肉 130.9	13	6	2968	2819
瘫	tān	paralysis, palsy, numbness	疒 104.10	15	6	3283	2823
觅	mì	seek; search	爪 87.4	8	6	1173	2825
僻	pì	out-of-the-way, remote; unorthodox	人 9.13	15	6	3271	2827
蔓	màn	creeping plants, tendrils, vines	艸 140.11	14	6	3069	2829
咋	zǎ	question-forming particle, why? how? what?; to bite; loud	口 30.5	8	6	1097	2830
嵌	qiàn	inlay, set in; fall into; rugged	山 46.9	12	6	2647	2831
畔	pàn	boundary path dividing fields	田 102.5	10	6	1899	2833
涩	sè	astringent; harsh; uneven, rough	水 85.7	10	6	2088	2836
蹦	bèng	hop, leap, jump; bright	足 157.11	18	6	3442	2839
叨	dāo	talkative; quarrelous	口 30.2	5	6	255	2844
呕	ǒu	vomit; annoy, enrage	口 30.4	7	6	725	2855
凸	tū	protrude, bulge out, convex	凵 17.3	5	6	229	2857
熄	xī	put out, extinguish, quash	火 86.10	14	6	3157	2858
裳	shang	clothes; skirt; beautiful	衣 145.8	14	6	3099	2861
凹	āo	concave, hollow, depressed; a pass, valley	凵 17.3	5	6	260	2862
膛	táng	chest; hollow space, cavity	肉 130.11	15	6	3275	2865
聋	lóng	deaf	耳 128.5	11	6	2245	2873
沮	jǔ	stop, prevent; defeated, dejected	水 85.5	8	6	1247	2878
萌	méng	bud, sprout	艸 140.8	11	6	2203	2879
撇	piē	discard, abandon, throw away	手 64.12	14	6	3064	2882
苟	gǒu	careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)	艸 140.5	8	6	1007	2886
蚂	mǎ	ant; leech	虫 142.3	9	6	1501	2888
俭	jiǎn	temperate, frugal, economical	人 9.7	9	6	1567	2891
帖	tiē	invitation card; notice	巾 50.5	8	6	1107	2892
煎	jiān	fry in fat or oil; boil in water	火 86.9	13	6	3000	2893
墅	shù	villa, country house	土 32.11	14	6	3102	2901
伶	líng	lonely, solitary; actor	人 9.5	7	6	779	2906
歹	dǎi	bad, vicious, depraved, wicked	歹 78.0	4	6	96	2905
廓	kuò	broad, wide, open, empty; to expand	广 53.11	13	6	2989	2911
讳	huì	conceal; shun; regard as taboo	言 149.4	6	6	551	2912
瓣	bàn	petal; segment; valves	瓜 97.14	19	6	3468	2915
枉	wǎng	useless, in vain; bent, crooked	木 75.4	8	6	1017	2918
琢	zuó	polish jade; cut jade	玉 96.8	12	6	2503	2921
讥	jī	ridicule, jeer, mock; inspect	言 149.2	4	6	173	2922
呻	shēn	groan, moan; recite with intonation	口 30.5	8	6	1095	2929
慷	kāng	ardent; generous, magnanimous	心 61.11	14	6	3170	2935
锤	chuí	balance weight on scale; hammer	金 167.8	13	6	2940	2937
桨	jiǎng	oar, paddle	木 75.6	10	6	2017	2939
磅	bàng	pound; weigh	石 112.10	15	6	3227	2941
馈	kuì	offer food superior; send gift	食 184.9	12	6	2724	2947
溅	jiàn	sprinkle, spray; spill, splash	水 85.9	12	6	2760	2949
钙	gài	calcium	金 167.4	9	6	1525	2951
彰	zhāng	clear, manifest, obvious	彡 59.11	14	6	3149	2953
眯	mī	be blinded	目 109.6	11	6	2262	2955
墟	xū	high mound; hilly countryside; wasteland	土 32.12	14	6	3055	2958
瞻	zhān	look; look out for; respect	目 109.13	18	6	3441	2960
悼	dào	grieve, mourn, lament; grieved	心 61.8	11	6	2441	2963
拣	jiǎn	choose; select; pick up; gather	手 64.5	8	6	961	2965
渺	miǎo	endlessly long, boundless, vast	水 85.9	12	6	2755	2966
汰	tài	excessive; scour, wash out	水 85.4	7	6	858	2969
镶	xiāng	insert, inlay, set, mount; fill	金 167.17	22	6	3497	2974
趴	pā	lying prone, leaning over	足 157.2	9	6	1493	2977
酌	zhuó	serve wine; feast; deliberate	酉 164.3	10	6	1857	2984
浊	zhuó	muddy, turbid, dirty, filthy	水 85.6	9	6	1668	2985
撼	hàn	move, shake; (Cant.) to fight	手 64.13	16	6	3315	2987
扛	káng	carry on shoulders; lift	手 64.3	6	6	354	2989
峭	qiào	steep, precipitous, rugged	山 46.7	10	6	1919	2990
磕	kē	hit; collide, knock into; sound	石 112.10	15	6	3225	2991
翘	qiào	turn up, lift, elevate, raise	羽 124.6	12	6	2601	2992
熏	xūn	smoke, fog, vapor; smoke, cure	火 86.10	14	6	3119	2997
缀	zhuì	patch together, link, connect	糸 120.8	11	6	2499	3002
徊	huái	linger, walk to and fro, hesitain	彳 60.6	9	6	1581	3003
肪	fáng	animal fat	肉 130.4	8	6	1188	3005
涕	tì	tear; snivel, nasal mucus	水 85.7	10	6	2083	3006
惫	bèi	tired, weary, fatigued	夂 34.9	12	6	2722	3007
挚	zhì	sincere, warm, cordial; surname	手 64.6	10	6	1808	3012
绎	yì	to unravel or unreel silk; to interpret	糸 120.5	8	6	1349	3015
睦	mù	friendly, amiable, peaceful	目 109.8	13	6	2897	3019
窍	qiào	hole, opening, aperture	穴 116.5	10	6	2103	3020
粥	zhōu	rice gruel, congee	米 119.6	12	6	2803	3021
沧	cāng	blue, dark green; cold	水 85.4	7	6	866	3023
怠	dài	idle, remiss, negligent; neglect	心 61.5	9	6	1747	3024
咙	lóng	throat	口 30.5	8	6	1089	3027
沛	pèi	abundant, full, copious; sudden	水 85.4	7	6	857	3032
崭	zhǎn	high, steep, precipitous; new	山 46.8	11	6	2294	3035
鞠	jū	bow, bend; rear, raise, nourish	革 177.8	17	6	3391	3037
唾	tuò	spit, spit on; saliva	口 30.8	11	6	2287	3040
洽	qià	to blend with, be in harmony; to penetrate; to cover; a river in Shenxi	水 85.6	9	6	1674	3039
柬	jiǎn	letter, invitation; choose	木 75.5	9	6	1442	3047
擎	qíng	lift up, hold up, support	手 64.13	16	6	3324	3052
疤	bā	scar, cicatrix; birthmark	疒 104.4	9	6	1628	3055
钝	dùn	blunt, obtuse; dull; flat; dull-witted	金 167.4	9	6	1526	3059
氓	máng	people; subjects; vassals	氏 83.4	8	6	1226	3060
杠	gāng	lever, pole, crowbar; sharpen	木 75.3	7	6	679	3066
诬	wū	make false accusation; defame	言 149.7	9	6	1706	3069
抒	shū	express; eliminate; relieve	手 64.4	7	6	659	3071
侈	chǐ	luxurious, extravagant	人 9.6	8	6	1152	3081
徘	pái	walk back and forth, hesitate	彳 60.8	11	6	2339	3084
嗦	suo	suck	口 30.10	13	6	2904	3089
狈	bèi	a legendary animal with short forelegs which rode a wolf	犬 94.4	7	6	813	3090
搓	cuō	to rub or roll between the hands	手 64.10	12	6	2534	3098
赁	lìn	rent, hire; hired person	貝 154.6	10	6	1965	3101
婪	lán	covet; covetous, avaricious	女 38.8	11	6	2222	3112
紊	wěn	confused, disorder	糸 120.4	10	6	2036	3113
兢	jīng	fearful, cautious, wary	儿 10.12	14	6	3077	3117
扒	bā	scratch; dig up; crawl; crouch	手 64.2	5	6	201	3121
痪	huàn	paralysis, numbness of limbs	疒 104.7	12	6	2733	3128
宵	xiāo	night, evening, dark	宀 40.7	10	6	2100	3131
岔	chà	diverge, branch off; fork in road	山 46.4	7	6	802	3134
韧	rèn	strong and pliable, resilient	韋 178.3	7	6	610	3137
憋	biē	to suppress inner feelings; hasty	心 61.12	15	6	3289	3141
衅	xìn	consecrate sacrificial vessels by smearing blood; rift	血 143.5	11	6	2338	3146
隘	ài	narrow, confined; a strategic pass	阜 170.10	12	6	2807	3152
濒	bīn	approach, be on verge of; near	水 85.13	16	6	3377	3153
剔	tī	pick out; scrape off; scrape meat	刀 18.8	10	6	1896	3156
淀	diàn	shallow water, swamp; swampy	水 85.8	11	6	2431	3159
缉	jī	to sew in close stitches	糸 120.9	12	6	2816	3165
斟	zhēn	to pour wine or tea into a cup; to gauge	斗 68.9	13	6	2846	3167
拧	níng	pinch; twist, wring; determined	手 64.5	8	6	985	3178
蔚	wèi	luxuriant, thick; ornamental	艸 140.11	14	6	3076	3188
眶	kuàng	eye socket; rim of eye	目 109.6	11	6	2258	3191
瀑	pù	waterfall, cascade; heavy rain	水 85.15	18	6	3448	3195
渣	zhā	refuse, dregs, lees, sediment	水 85.9	12	6	2753	3196
辙	zhé	wagon ruts, wheel tracks	車 159.12	16	6	3339	3208
潇	xiāo	sound of beating wind and rain	水 85.11	14	6	3160	3216
阱	jǐng	pitfall, trap, snare	阜 170.4	6	6	3638	3224
哆	duō	tremble, shiver, shudder, quiver	口 30.6	9	6	1511	3231
辫	biàn	braid; pigtail, plait, queue	辛 160.10	17	6	3426	3240
拽	zhuāi	drag, tow; throw; twist	手 64.6	9	6	1380	3248
滤	lǜ	strain out, filter	水 85.10	13	6	3009	3249
睬	cǎi	notice; pay attention to	目 109.8	13	6	2901	3250
谤	bàng	slander, libel	言 149.10	12	6	2797	3253
捍	hàn	ward off, guard against, defend	手 64.7	10	6	1792	3255
瘾	yǐn	rash; addiction, craving, habit	疒 104.11	16	6	3368	3258
磋	cuō	polish, buff; scrutinize	石 112.10	14	6	5680	3261
淆	xiáo	confused, in disarray, mixed up	水 85.8	11	6	2422	3263
烘	hōng	bake, roast; dry by fire	火 86.6	10	6	2058	3266
赂	lù	bribe; give present	貝 154.6	10	6	1926	3270
炫	xuàn	shine, glitter; show off, flaunt	火 86.5	9	6	1659	3292
迸	bèng	gush out; burst forth; split	辵 162.8	9	6	4321	3290
嗨	hāi	an exclamation	口 30.10	13	6	5473	3294
惰	duò	indolent, careless, lazy, idle	心 61.9	12	6	2772	3310
椭	tuǒ	oval-shaped, elliptical, tubular	木 75.8	12	6	2579	3312
侃	kǎn	upright and strong; amiable	人 9.6	8	6	3958	3315
瞩	zhǔ	watch carefully, stare at, focus on	目 109.12	17	6	3405	3320
蕾	lěi	buds, unopened flowers	艸 140.13	16	6	3320	3329
炊	chuī	cook; meal	火 86.4	8	6	1235	3333
隧	suì	tunnel, underground passageway, path to a tomb	阜 170.13	14	6	3182	3342
啃	kěn	gnaw, chew, bite	口 30.8	11	6	2275	3345
舔	tiǎn	lick with tongue; taste	舌 135.8	14	6	3117	3348
蹬	dēng	step on, tread on; lose energy	足 157.12	19	6	3460	3349
袱	fú	a piece of cloth used wrap bundles	衣 145.6	11	6	2463	3352
殴	ōu	beat, fight with fists, hit	殳 79.4	8	6	1054	3354
侥	jiǎo	be lucky; by chance, by luck	人 9.6	8	6	1142	3359
酝	yùn	liquor, spirits, wine; ferment	酉 164.4	11	6	2236	3362
澈	chè	thoroughly, completely	水 85.12	15	6	3297	3365
锈	xiù	rust, corrode	金 167.7	12	6	2663	3366
稠	chóu	dense, crowded, packed; soupy	禾 115.8	13	6	2949	3367
搀	chān	give helping hand	手 64.9	12	6	2531	3384
筛	shāi	sieve, filter, screen; sift	竹 118.6	12	6	2684	3388
痹	bì	paralysis, numbness	疒 104.8	13	6	2988	3391
甭	béng	there is no need	用 101.4	9	6	4164	3396
唠	láo	chat, jaw, gossip, talk	口 30.7	10	6	1891	3399
徙	xǐ		彳 60.8	11	6	2340	3411
筐	kuāng	bamboo basket or chest	竹 118.6	12	6	2680	3419
曝	pù	sun, air in sun, expose or dry in the sun	日 72.15	19	6	3457	3431
嘈	cáo	noisy	口 30.11	14	6	5696	3446
蔼	ǎi	lush; affable, friendly	艸 140.11	14	6	3074	3460
烹	pēng	boil, cook; quick fry, stir fry	火 86.7	11	6	2377	3461
沐	mù	bathe, cleanse, wash, shampoo	水 85.4	7	6	856	3464
掐	qiā	hold; gather with hand; choke	手 64.8	11	6	2181	3494
咀	jǔ	suck; chew, masticate	口 30.5	8	6	3911	3498
吝	lìn	stingy, miserly, parsimonious	口 30.4	7	6	835	3507
肴	yáo	cooked or prepared meat	肉 130.4	8	6	1169	3513
溉	gài	water, irrigate, flood; wash	水 85.9	12	6	2769	3524
疙	gē	pimple, sore, boil, wart, pustule	疒 104.3	8	6	1214	3527
揍	zòu	hit, beat; smash, break	手 64.9	12	6	2507	3540
倔	jué	stubborn, obstinate, intransigent; firm	人 9.8	10	6	1974	3542
诽	fěi	slander, vilify, condemn	言 149.8	10	6	2114	3541
攒	zǎn	save, hoard	手 64.16	19	6	6368	3548
瘩	da	pimples	疒 104.10	14	6	3145	3549
殃	yāng	misfortune, disaster, calamity	歹 78.5	9	6	1461	3562
俐	lì	smooth; active; clever, sharp	人 9.7	9	6	1565	3564
拌	bàn	mix	手 64.5	8	6	984	3570
橙	chéng	orange	木 75.12	16	6	3331	3571
簸	bǒ	winnower	竹 118.13	19	6	3462	3586
惋	wǎn	regret, be sorry; alarmed	心 61.8	11	6	2448	3592
惮	dàn	dread, shrink from, shirk, fear	心 61.8	11	6	4992	3601
捎	shāo	to select; to take; to carry	手 64.7	10	6	1791	3603
唆	suō	make mischief, incite, instigate	口 30.7	10	6	1917	3654
榨	zhà	to press or extract juices; a press to extract juices; a vegetable	木 75.10	14	6	3082	3657
蹋	tà	step on, tread on; stumble, slip	足 157.10	17	6	3408	3678
叼	diāo	holding in mouth	口 30.2	5	6	252	3703
秤	chèng	balance, scale, steelyard	禾 115.5	10	6	1943	3737
惦	diàn	think of, remember, miss	心 61.8	11	6	2446	3752
藐	miǎo	disregard, slight, disdain	艸 140.14	17	6	3393	3755
馅	xiàn	filling, stuffing; secret	食 184.8	11	6	2372	3765
暧	ài	obscure, dim, ambiguous, vague	日 72.10	14	6	5700	3802
辕	yuán		車 159.10	14	6	5686	3831
馋	chán	gluttonous, greedy; lewd, lecherous	食 184.9	12	6	2725	3844
啬	sè	miserly, thrifty; stingy	十 24.9	11	6	4780	3860
踊	yǒng	leap, jump	足 157.7	14	6	3104	3884
暄	xuān	warm, comfortable; warm, genial	日 72.9	13	6	5449	3886
晾	liàng	air-dry; sun-dry	日 72.8	12	6	2625	3909
瘸	qué	lameness, paralysis of hands, leg	疒 104.11	16	6	3369	3943
挎	kuà	carry	手 64.6	9	6	1372	4005
阂	hé	blocked or separated; to prevent	門 169.6	9	6	4319	4004
雹	báo	hail	雨 173.5	13	6	2887	4037
酗	xù	drunk, to become violent under the influence of alcohol	酉 164.4	11	6	2237	4193
拄	zhǔ	lean on; post; prod; ridicule	手 64.5	8	6	979	4240
掰	bāi	(Cant.) to tear, to rip	手 64.8	12	6	2668	4253
荤	hūn	meat diet; strong smelling	艸 140.6	9	6	1416	4295
饪	rèn	cooked food; cook until well done	食 184.4	7	6	3752	4491
熨	yùn	iron, press	火 86.11	15	6	6015	4498
涮	shuàn	rinse; cook or boil in juice	水 85.8	11	6	2433	4527
锲	qiè	sickle; cut, carve, engrave	金 167.9	14	6	5733	4771
啰	luō	phonetic	网 122.3	11	6	2286	
